source	target	constructor	kind	argument
229	228	auth.firebasePnvIntent	ProvenNotEmitted	
229	228	buttonTypeDefault	ProvenNotEmitted	
229	228	buttonTypeRequestGeoLocation	ProvenNotEmitted	
229	228	buttonTypeRequestPeer	ProvenNotEmitted	
229	228	buttonTypeRequestPhone	ProvenNotEmitted	
229	228	buttonTypeRequestPoll	ProvenNotEmitted	
229	228	buttonTypeSimpleWebView	ProvenNotEmitted	
229	228	channelFull	Mechanical	
229	228	chatAdminRights	Mechanical	
229	228	chatFull	Mechanical	
229	228	ephemeral.welcomeMessages	ProvenNotEmitted	
229	228	ephemeral.welcomeMessagesNotModified	ProvenNotEmitted	
229	228	ephemeralMessage	ProvenNotEmitted	
229	228	inlineButtonTypeBuy	ProvenNotEmitted	
229	228	inlineButtonTypeCallback	ProvenNotEmitted	
229	228	inlineButtonTypeCopy	ProvenNotEmitted	
229	228	inlineButtonTypeDisabled	ProvenNotEmitted	
229	228	inlineButtonTypeGame	ProvenNotEmitted	
229	228	inlineButtonTypeSwitchInline	ProvenNotEmitted	
229	228	inlineButtonTypeUrl	ProvenNotEmitted	
229	228	inlineButtonTypeUrlAuth	ProvenNotEmitted	
229	228	inlineButtonTypeUserProfile	ProvenNotEmitted	
229	228	inlineButtonTypeWebView	ProvenNotEmitted	
229	228	inputButtonTypeRequestPeer	ProvenNotEmitted	
229	228	inputInlineButtonTypeUrlAuth	ProvenNotEmitted	
229	228	inputInlineButtonTypeUserProfile	ProvenNotEmitted	
229	228	inputInvoiceStarGiftResale	Mechanical	
229	228	inputSendMessageRichMessageDraftAction	Mechanical	
229	228	keyboardButton	Semantic	convert_229_to_228_keyboardButton
229	228	keyboardInlineButton	Semantic	convert_229_to_228_keyboardInlineButton
229	228	keyboardInlineButtonRow	Semantic	convert_229_to_228_keyboardInlineButtonRow
229	228	messageActionChatJoinedViaCommunity	ProvenNotEmitted	
229	228	messageActionStarGiftUnique	Mechanical	
229	228	pageBlockBlockquote	Mechanical	
229	228	pageBlockButtonRow	ProvenNotEmitted	
229	228	pageBlockDocument	ProvenNotEmitted	
229	228	pageBlockTable	Mechanical	
229	228	pageButton	ProvenNotEmitted	
229	228	replyInlineMarkup	Semantic	convert_229_to_228_replyInlineMarkup
229	228	replyKeyboardMarkup	Mechanical	
229	228	richButtonStyle	ProvenNotEmitted	
229	228	sendMessageRichMessageDraftAction	Mechanical	
229	228	sendMessageStopDraftAction	ProvenNotEmitted	
229	228	sendMessageTextDraftAction	Mechanical	
229	228	textButton	ProvenNotEmitted	
229	228	updateEphemeralBotCallbackQuery	ProvenNotEmitted	
228	227	botCommand	Mechanical	
228	227	channel	Mechanical	
228	227	chatAdminRights	Mechanical	
228	227	chatBannedRights	Mechanical	
228	227	communities.participantJoinedChats	ProvenNotEmitted	
228	227	communities.peerLinkRequests	ProvenNotEmitted	
228	227	community	ProvenNotEmitted	
228	227	communityForbidden	ProvenNotEmitted	
228	227	communityFull	ProvenNotEmitted	
228	227	communityPeer	ProvenNotEmitted	
228	227	communityPeerRequest	ProvenNotEmitted	
228	227	dialogCommunity	ProvenNotEmitted	
228	227	dialogPeerCommunity	ProvenNotEmitted	
228	227	ephemeralMessage	ProvenNotEmitted	
228	227	inputAiComposeToneSingleUse	ProvenNotEmitted	
228	227	inputDialogPeerCommunity	ProvenNotEmitted	
228	227	inputNotifyCommunity	ProvenNotEmitted	
228	227	inputReplyToEphemeralMessage	ProvenNotEmitted	
228	227	messageActionChangeCommunity	ProvenNotEmitted	
228	227	messageReplyHeader	Mechanical	
228	227	messages.chatInviteJoinResultWebView	ProvenNotEmitted	
228	227	messages.composedRichMessageWithAI	ProvenNotEmitted	
228	227	messages.translatedRichMessage	ProvenNotEmitted	
228	227	notifyCommunity	ProvenNotEmitted	
