kind	name	layer
constructor	account.autoSaveSettings	214
constructor	account.businessChatLinks	214
constructor	account.chatThemes	214
constructor	account.chatThemesNotModified	214
constructor	account.connectedBots	214
constructor	account.paidMessagesRevenue	214
constructor	account.passkeyRegistrationOptions	219
constructor	account.passkeys	219
constructor	account.resolvedBusinessChatLinks	214
constructor	account.savedMusicIds	214
constructor	account.savedMusicIdsNotModified	214
constructor	account.webBrowserSettings	227
constructor	account.webBrowserSettingsNotModified	227
constructor	aiComposeTone	225
constructor	aiComposeToneDefault	225
constructor	aiComposeToneExample	225
constructor	aicompose.tones	225
constructor	aicompose.tonesNotModified	225
constructor	auctionBidLevel	218
constructor	auth.firebasePnvIntent	229
constructor	auth.passkeyLoginOptions	219
constructor	auth.sentCodePaymentRequired	214
constructor	auth.sentCodeSuccess	214
constructor	auth.sentCodeTypeFirebaseSms	214
constructor	auth.sentCodeTypeSmsPhrase	214
constructor	auth.sentCodeTypeSmsWord	214
constructor	autoSaveException	214
constructor	autoSaveSettings	214
constructor	availableEffect	214
constructor	birthday	214
constructor	boost	214
constructor	botApp	214
constructor	botAppNotModified	214
constructor	botAppSettings	214
constructor	botBusinessConnection	214
constructor	botInlineMessageMediaWebPage	214
constructor	botInlineMessageRichMessage	227
constructor	botPreviewMedia	214
constructor	botVerification	214
constructor	botVerifierSettings	214
constructor	bots.accessSettings	225
constructor	bots.botInfo	214
constructor	bots.exportedBotToken	224
constructor	bots.popularAppBots	214
constructor	bots.previewInfo	214
constructor	bots.requestedButton	224
constructor	businessAwayMessage	214
constructor	businessAwayMessageScheduleAlways	214
constructor	businessAwayMessageScheduleCustom	214
constructor	businessAwayMessageScheduleOutsideWorkHours	214
constructor	businessBotRecipients	214
constructor	businessBotRights	214
constructor	businessChatLink	214
constructor	businessGreetingMessage	214
constructor	businessIntro	214
constructor	businessLocation	214
constructor	businessRecipients	214
constructor	businessWeeklyOpen	214
constructor	businessWorkHours	214
constructor	buttonTypeDefault	229
constructor	buttonTypeRequestGeoLocation	229
constructor	buttonTypeRequestPeer	229
constructor	buttonTypeRequestPhone	229
constructor	buttonTypeRequestPoll	229
constructor	buttonTypeSimpleWebView	229
constructor	channelAdminLogEventActionChangeEmojiStatus	214
constructor	channelAdminLogEventActionChangeEmojiStickerSet	214
constructor	channelAdminLogEventActionChangePeerColor	214
constructor	channelAdminLogEventActionChangeProfilePeerColor	214
constructor	channelAdminLogEventActionChangeWallpaper	214
constructor	channelAdminLogEventActionParticipantEditRank	223
constructor	channelAdminLogEventActionParticipantSubExtend	214
constructor	channelAdminLogEventActionToggleAutotranslation	214
constructor	channelAdminLogEventActionToggleSignatureProfiles	214
constructor	channels.sponsoredMessageReportResultAdsHidden	214
constructor	channels.sponsoredMessageReportResultChooseOption	214
constructor	channels.sponsoredMessageReportResultReported	214
constructor	chatTheme	214
constructor	chatThemeUniqueGift	214
constructor	chatlists.chatlistInvite	214
constructor	chatlists.chatlistInviteAlready	214
constructor	chatlists.chatlistUpdates	214
constructor	chatlists.exportedChatlistInvite	214
constructor	chatlists.exportedInvites	214
constructor	communities.participantJoinedChats	228
constructor	communities.peerLinkRequests	228
constructor	community	228
constructor	communityForbidden	228
constructor	communityFull	228
constructor	communityPeer	228
constructor	communityPeerRequest	228
constructor	connectedBot	214
constructor	connectedBotStarRef	214
constructor	contactBirthday	214
constructor	contacts.contactBirthdays	214
constructor	contacts.sponsoredPeers	214
constructor	contacts.sponsoredPeersEmpty	214
constructor	dialogCommunity	228
constructor	dialogFilterChatlist	214
constructor	dialogPeerCommunity	228
constructor	disallowedGiftsSettings	214
constructor	emojiGroup	214
constructor	emojiGroupGreeting	214
constructor	emojiGroupPremium	214
constructor	emojiList	214
constructor	emojiListNotModified	214
constructor	emojiStatusCollectible	214
constructor	ephemeral.welcomeMessages	229
constructor	ephemeral.welcomeMessagesNotModified	229
constructor	ephemeralMessage	228
constructor	exportedChatlistInvite	214
constructor	exportedStoryLink	214
constructor	factCheck	214
constructor	foundStory	214
constructor	fragment.collectibleInfo	214
constructor	geoPointAddress	214
constructor	groupCallDonor	217
constructor	groupCallMessage	217
constructor	help.appConfig	214
constructor	help.appConfigNotModified	214
constructor	help.peerColorOption	214
constructor	help.peerColorProfileSet	214
constructor	help.peerColorSet	214
constructor	help.peerColors	214
constructor	help.peerColorsNotModified	214
constructor	help.timezonesList	214
constructor	help.timezonesListNotModified	214
constructor	inlineBotWebView	214
constructor	inlineButtonTypeBuy	229
constructor	inlineButtonTypeCallback	229
constructor	inlineButtonTypeCopy	229
constructor	inlineButtonTypeDisabled	229
constructor	inlineButtonTypeGame	229
constructor	inlineButtonTypeSwitchInline	229
constructor	inlineButtonTypeUrl	229
constructor	inlineButtonTypeUrlAuth	229
constructor	inlineButtonTypeUserProfile	229
constructor	inlineButtonTypeWebView	229
constructor	inlineQueryPeerTypeBotPM	214
constructor	inputAiComposeToneDefault	225
constructor	inputAiComposeToneID	225
constructor	inputAiComposeToneSingleUse	228
constructor	inputAiComposeToneSlug	225
constructor	inputBotAppID	214
constructor	inputBotAppShortName	214
constructor	inputBotInlineMessageMediaWebPage	214
constructor	inputBotInlineMessageRichMessage	227
constructor	inputBusinessAwayMessage	214
constructor	inputBusinessBotRecipients	214
constructor	inputBusinessChatLink	214
constructor	inputBusinessGreetingMessage	214
constructor	inputBusinessIntro	214
constructor	inputBusinessRecipients	214
constructor	inputButtonTypeRequestPeer	229
constructor	inputChatTheme	214
constructor	inputChatThemeEmpty	214
constructor	inputChatThemeUniqueGift	214
constructor	inputChatlistDialogFilter	214
constructor	inputCollectiblePhone	214
constructor	inputCollectibleUsername	214
constructor	inputDialogPeerCommunity	228
constructor	inputEmojiStatusCollectible	214
constructor	inputFileStoryDocument	214
constructor	inputGroupCallInviteMessage	214
constructor	inputGroupCallSlug	214
constructor	inputInlineButtonTypeUrlAuth	229
constructor	inputInlineButtonTypeUserProfile	229
constructor	inputInvoiceBusinessBotTransferStars	214
constructor	inputInvoiceChatInviteSubscription	214
constructor	inputInvoicePremiumAuthCode	215
constructor	inputInvoicePremiumGiftCode	214
constructor	inputInvoicePremiumGiftStars	214
constructor	inputInvoiceStarGift	214
constructor	inputInvoiceStarGiftAuctionBid	218
constructor	inputInvoiceStarGiftDropOriginalDetails	215
constructor	inputInvoiceStarGiftPrepaidUpgrade	214
constructor	inputInvoiceStarGiftResale	214
constructor	inputInvoiceStarGiftTransfer	214
constructor	inputInvoiceStarGiftUpgrade	214
constructor	inputInvoiceStars	214
constructor	inputMediaAreaChannelPost	214
constructor	inputMediaAreaVenue	214
constructor	inputMediaPaidMedia	214
constructor	inputMediaStakeDice	221
constructor	inputMediaStory	214
constructor	inputMediaTodo	214
constructor	inputMediaWebPage	214
constructor	inputMessageReadMetric	224
constructor	inputMessagesFilterPoll	224
constructor	inputNotifyCommunity	228
constructor	inputPageBlockMap	227
constructor	inputPasskeyCredentialFirebasePNV	221
constructor	inputPasskeyCredentialPublicKey	219
constructor	inputPasskeyResponseLogin	219
constructor	inputPasskeyResponseRegister	219
constructor	inputPeerColorCollectible	216
constructor	inputPollAnswer	224
constructor	inputPrivacyKeyAbout	214
constructor	inputPrivacyKeyBirthday	214
constructor	inputPrivacyKeyNoPaidMessages	214
constructor	inputPrivacyKeySavedMusic	217
constructor	inputPrivacyKeyStarGiftsAutoSave	214
constructor	inputPrivacyValueAllowBots	214
constructor	inputPrivacyValueAllowCloseFriends	214
constructor	inputPrivacyValueAllowPremium	214
constructor	inputPrivacyValueDisallowBots	214
constructor	inputQuickReplyShortcut	214
constructor	inputQuickReplyShortcutId	214
constructor	inputReplyToEphemeralMessage	228
constructor	inputReplyToMessage	214
constructor	inputReplyToMonoForum	214
constructor	inputReplyToStory	214
constructor	inputRichFileDocument	227
constructor	inputRichFilePhoto	227
constructor	inputRichMessage	227
constructor	inputRichMessageHTML	227
constructor	inputRichMessageMarkdown	227
constructor	inputSavedStarGiftChat	214
constructor	inputSavedStarGiftSlug	214
constructor	inputSavedStarGiftUser	214
constructor	inputSendMessageRichMessageDraftAction	227
constructor	inputStarGiftAuction	218
constructor	inputStarGiftAuctionSlug	218
constructor	inputStarsTransaction	214
constructor	inputStickerSetEmojiChannelDefaultStatuses	214
constructor	inputStickerSetTonGifts	214
constructor	inputStorePaymentAuthCode	214
constructor	inputStorePaymentPremiumGiftCode	214
constructor	inputStorePaymentPremiumGiveaway	214
constructor	inputStorePaymentStarsGift	214
constructor	inputStorePaymentStarsGiveaway	214
constructor	inputStorePaymentStarsTopup	214
constructor	joinChatBotResultApproved	227
constructor	joinChatBotResultDeclined	227
constructor	joinChatBotResultQueued	227
constructor	joinChatBotResultWebView	227
constructor	keyboardButtonStyle	222
constructor	keyboardInlineButton	229
constructor	keyboardInlineButtonRow	229
constructor	mediaAreaChannelPost	214
constructor	mediaAreaCoordinates	214
constructor	mediaAreaGeoPoint	214
constructor	mediaAreaStarGift	214
constructor	mediaAreaSuggestedReaction	214
constructor	mediaAreaUrl	214
constructor	mediaAreaVenue	214
constructor	mediaAreaWeather	214
constructor	messageActionBoostApply	214
constructor	messageActionChangeCommunity	228
constructor	messageActionChangeCreator	222
constructor	messageActionChatJoinedViaCommunity	229
constructor	messageActionConferenceCall	214
constructor	messageActionGiftCode	214
constructor	messageActionGiftStars	214
constructor	messageActionGiftTon	214
constructor	messageActionGiveawayLaunch	214
constructor	messageActionGiveawayResults	214
constructor	messageActionManagedBotCreated	224
constructor	messageActionNewCreatorPending	222
constructor	messageActionNoForwardsRequest	223
constructor	messageActionNoForwardsToggle	223
constructor	messageActionPaidMessagesPrice	214
constructor	messageActionPaidMessagesRefunded	214
constructor	messageActionPaymentRefunded	214
constructor	messageActionPollAppendAnswer	224
constructor	messageActionPollDeleteAnswer	224
constructor	messageActionPrizeStars	214
constructor	messageActionRequestedPeer	214
constructor	messageActionRequestedPeerSentMe	214
constructor	messageActionSetChatWallPaper	214
constructor	messageActionStarGift	214
constructor	messageActionStarGiftPurchaseOffer	220
constructor	messageActionStarGiftPurchaseOfferDeclined	220
constructor	messageActionStarGiftUnique	214
constructor	messageActionSuggestBirthday	216
constructor	messageActionSuggestProfilePhoto	214
constructor	messageActionSuggestedPostApproval	214
constructor	messageActionSuggestedPostRefund	214
constructor	messageActionSuggestedPostSuccess	214
constructor	messageActionTodoAppendTasks	214
constructor	messageActionTodoCompletions	214
constructor	messageEntityBlockquote	214
constructor	messageEntityDiffDelete	224
constructor	messageEntityDiffInsert	224
constructor	messageEntityDiffReplace	224
constructor	messageEntityFormattedDate	223
constructor	messageMediaGiveaway	214
constructor	messageMediaGiveawayResults	214
constructor	messageMediaPaidMedia	214
constructor	messageMediaStory	214
constructor	messageMediaToDo	214
constructor	messageMediaVideoStream	217
constructor	messagePeerVote	214
constructor	messagePeerVoteInputOption	214
constructor	messagePeerVoteMultiple	214
constructor	messageReactor	214
